[16/12/2019 06:50:46] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:52:25] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:54:02] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:55:30] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:56:47] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 06:58:21] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:00:02] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:01:37] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:03:25] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:04:51] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:06:34] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:08:16] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:09:52] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:11:24] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:12:55] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:14:40] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:16:27] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:18:05] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:19:48] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:21:11] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:22:43] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 07:24:26] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
